movement,cosine,delta_hr,hr_rmssd
0.0,-0.360404,-0.14731702938294938,0.0
0.0,-0.362438,-0.15054695275683044,1.124664406779667e-05
0.0,-0.36447,-0.14654207207345224,2.8537547118644167e-05
0.0,-0.366501,-0.1352967798269573,0.00016486395932203417
0.0,-0.36853,-0.13184816372463637,0.0001776851457627121
0.0,-0.370557,-0.12884926959208154,0.00018738043525423748
0.0,-0.372583,-0.11979539063467119,0.0002757510508474577
0.0,-0.374607,-0.11527742316533791,0.00029775622000000014
0.0,-0.376629,-0.11094226038695693,0.00031801668135593246
0.0,-0.378649,-0.10920449432173865,0.0003212722071186442
0.0,-0.380667,-0.1077852345892225,0.0003234437193220341
0.0,-0.382683,-0.10657849932870303,0.000325013585084746
0.0,-0.384698,-0.10672541598216778,0.0003250368542372884
0.0,-0.386711,-0.10898860534622748,0.0003305586494915256
0.0,-0.388722,-0.11064450182592728,0.00033351465254237314
0.0,-0.390731,-0.11871089900184376,0.0004036598135593221
0.0,-0.392738,-0.12827393949110896,0.0005022492766101696
0.0,-0.394744,-0.14019157168991003,0.0006553645338983052
0.0,-0.396747,-0.1527501418082156,0.0008253919291525424
0.0,-0.398749,-0.1727123019100892,0.001254981353220339
0.0,-0.400749,-0.19329913816448077,0.0017118777494915254
0.0,-0.402747,-0.2047844316616738,0.0018540853169491524
0.0,-0.404743,-0.20868276973376076,0.0018704684708474575
0.0,-0.406737,-0.2064902349435047,0.0018756508776271185
0.0,-0.408729,-0.2008614205638141,0.0019098072993220339
0.0,-0.410719,-0.19638831314134025,0.0019313776481355931
0.0,-0.412707,-0.19260661119108788,0.0019467951179661016
0.0,-0.414693,-0.1950761567707011,0.001953369767457627
0.0,-0.416677,-0.19709261587703375,0.0019577532305084743
0.0,-0.41866,-0.19786364793243072,0.0019583941203389827
0.0,-0.42064,-0.20078291548181001,0.0019675813867796607
0.0,-0.422618,-0.2019767534788574,0.001969117875254237
0.0,-0.424595,-0.201966659968314,0.0019691179850847454
0.0,-0.426569,-0.1967443897632872,0.0019985186525423725
0.0,-0.428541,-0.18682527265207505,0.002104586693559322
0.0,-0.430511,-0.17757232723672586,0.002196886015932203
0.0,-0.432479,-0.17653437790251514,0.0021980474399999994
0.0,-0.434445,-0.1759489542909992,0.0021984169098305077
0.0,-0.436409,-0.17415343091544933,0.002201892436610169
0.0,-0.438371,-0.17380240104877404,0.0022020252759322027
0.0,-0.440331,-0.17314071535759704,0.0022024972759322027
0.0,-0.442289,-0.16685918729610125,0.0022450344976271183
0.0,-0.444244,-0.16221505094497576,0.0022682858616949147
0.0,-0.446198,-0.1601806478198993,0.0022727476867796604
0.0,-0.448149,-0.16056924797581937,0.0022729104830508467
0.0,-0.450098,-0.16103411021140052,0.0022731434461016947
0.0,-0.452046,-0.15996644109614536,0.0022743723328813555
0.0,-0.45399,-0.12686533401972194,0.003455572637966101
0.0,-0.455933,-0.06229826857490239,0.007949857633220338
0.0,-0.457874,-0.03954805656071342,0.008507825782711862
0.0,-0.459812,-0.031648763059348425,0.00857509478915254
0.0,-0.461749,0.09903360019752777,0.02698588678949153
0.0,-0.463683,0.32431514801987416,0.08169878933186439
5e-07,-0.465615,0.5045291712660365,0.11671068912847457
1.075e-05,-0.467544,0.6060614760736361,0.12782409056067795
0.000161,-0.469472,0.6266488730786134,0.1282810118474576
0.001683125,-0.471397,0.6247810128775025,0.12828477305457625
0.012335875,-0.47332,0.6418278306840971,0.12859804763084745
0.06340575,-0.47524,0.6759018400267851,0.12984970363932202
0.228564125,-0.477159,0.7007346797164243,0.13051450405457626
0.0,-0.501888,0.6277518694807703,0.1362454754118644
0.0,-0.503774,0.436408629359362,0.1756979694338983
0.0,-0.505657,0.19474587467569834,0.23852066246881348
0.0,-0.507538,-0.0037031968682483523,0.28096360474033893
0.0,-0.509417,-0.048873899552209235,0.28315355247322027
0.0,-0.511293,-0.05057241307642551,0.2830682919732203
0.0,-0.513167,-0.06868353549476065,0.2833999006359322
0.0,-0.515038,-0.08425109325616446,0.2836409041216949
0.0,-0.516907,-0.06514912455282101,0.2840310127399999
0.0,-0.518773,0.005033297257631339,0.28933884969016943
0.0,-0.520637,0.08803111295465968,0.2967635686867796
7.5e-07,-0.522499,0.15128770428059726,0.301077246857966
1.0625e-05,-0.524357,0.17472147125880724,0.3016637264525423
0.000112625,-0.526214,0.17677550065438472,0.30166531877796604
0.0008345,-0.528068,0.1864220929809257,0.30169549334881346
0.004335,-0.529919,0.20519546184102358,0.30197685081491515
0.01579325,-0.531768,0.21610766823958702,0.3019521055915253
0.040355625,-0.533615,0.21412877942249914,0.30178629983728805
0.0723275,-0.535458,0.2095233348617899,0.3013795759620338
0.0007435,-0.573576,-0.03132408847020309,0.36345758840677955
0.005561,-0.575362,-0.006824895379080959,0.3639624371444067
0.029166125,-0.577145,0.0020198236098471762,0.3640303887461016
0.107278875,-0.578925,0.0029557163374526294,0.3640261505972881
0.276751375,-0.580703,0.002581134946176144,0.36399214543796604
0.5007545,-0.582478,0.002145431741053632,0.3639707797430507
0.565737375,-0.586019,0.004514042215233078,0.3639614104684744
0.353242375,-0.587785,0.005587318836345653,0.36395607764813553
0.154701875,-0.589549,0.00533610257393268,0.3639517622203389
0.047518875,-0.59131,0.003540579198382837,0.36395459685728815
0.01023675,-0.593068,0.002104496948294381,0.36394763288610177
0.0015465,-0.594823,-0.0010059865508233504,0.3639565266379661
0.000163875,-0.596575,-0.009057243460924803,0.36402640861762714
1.2125e-05,-0.598325,-0.02688574758404535,0.3643396718267797
6.25e-07,-0.600071,-0.040233854527077416,0.3644256818928813
0.0,-0.601815,-0.028698654227753233,0.36447682868610165
0.0,-0.603556,0.07980209810887764,0.37716690592779656
0.0,-0.605294,0.2079347284523793,0.3948659140864406
0.0,-0.607029,0.2777324753610118,0.4001143974694915
1.25e-07,-0.608761,0.35928187229506536,0.4072836185423728
1.5e-06,-0.610491,0.43574245766349906,0.4135856595308474
2.35e-05,-0.612217,0.46067230720447194,0.41421312697491525
0.000252375,-0.613941,0.45319021213889993,0.4142502266783051
0.0019055,-0.615661,0.444554653118454,0.41432615807355927
0.010115,-0.617379,0.43551423217510155,0.41441410337355933
0.037898875,-0.619094,0.42360220748215793,0.4145668416135593
0.252663625,-0.632705,0.3823343288749699,0.4164015709762712
0.10931825,-0.634393,0.3607992633800866,0.41572032565966105
0.033446,-0.636078,0.36347516517525336,0.411233759981017
0.00720375,-0.63776,0.36839575156515025,0.4107018937383051
0.001090375,-0.639439,0.34451730937244585,0.4112493067281357
0.000115875,-0.641115,0.3151479974441437,0.3937683929057628
