movement,cosine,delta_hr,hr_rmssd,label
0.0,-0.360404,-0.5892681175317975,0.0,0
0.0,-0.362438,-0.6021878110273218,5.623322033898335e-07,0
0.0,-0.36447,-0.586168288293809,1.4268773559322084e-06,0
0.0,-0.366501,-0.5411871193078291,8.24319796610171e-06,0
0.0,-0.36853,-0.5273926548985455,8.884257288135606e-06,0
0.0,-0.370557,-0.5153970783683262,9.369021762711875e-06,0
0.0,-0.372583,-0.47918156253868477,1.3787552542372888e-05,0
0.0,-0.374607,-0.46110969266135166,1.4887811000000009e-05,0
0.0,-0.376629,-0.4437690415478277,1.5900834067796624e-05,0
0.0,-0.378649,-0.4368179772869546,1.6063610355932213e-05,0
0.0,-0.380667,-0.43114093835689,1.6172185966101707e-05,0
0.0,-0.382683,-0.4263139973148121,1.62506792542373e-05,0
0.0,-0.384698,-0.4269016639286711,1.625184271186442e-05,0
0.0,-0.386711,-0.4359544213849099,1.6527932474576283e-05,0
0.0,-0.388722,-0.4425780073037091,1.667573262711866e-05,0
0.0,-0.390731,-0.474843596007375,2.0182990677966105e-05,0
0.0,-0.392738,-0.5130957579644359,2.5112463830508486e-05,0
0.0,-0.394744,-0.5607662867596401,3.276822669491526e-05,0
0.0,-0.396747,-0.6110005672328624,4.1269596457627125e-05,0
0.0,-0.398749,-0.6908492076403568,6.274906766101694e-05,0
0.0,-0.400749,-0.7731965526579231,8.559388747457627e-05,0
0.0,-0.402747,-0.8191377266466952,9.270426584745763e-05,0
0.0,-0.404743,-0.8347310789350431,9.352342354237288e-05,0
0.0,-0.406737,-0.8259609397740189,9.378254388135593e-05,0
0.0,-0.408729,-0.8034456822552564,9.54903649661017e-05,0
0.0,-0.410719,-0.785553252565361,9.656888240677966e-05,0
0.0,-0.412707,-0.7704264447643515,9.733975589830509e-05,0
0.0,-0.414693,-0.7803046270828043,9.766848837288136e-05,0
0.0,-0.416677,-0.788370463508135,9.788766152542372e-05,0
0.0,-0.41866,-0.7914545917297229,9.791970601694915e-05,0
0.0,-0.42064,-0.8031316619272401,9.837906933898304e-05,0
